533,532,526,528,528,532
523,525,521,521,524,522
515,516,512,513,512,515
507,506,511,511,513,513
530,534,537,535,538,533
523,528,532,528,531,529
527,526,527,529,512,498
524,522,527,525,528,527
503,498,500,493,507,514
511,513,518,505,522,526
512,506,509,504,507,512
504,494,489,485,509,513
506,504,510,516,511,508
523,526,527,528,522,524
520,513,520,520,516,516
506,500,510,522,511,501
501,496,511,510,497,501
506,502,500,501,492,501
497,489,490,486,485,481
507,492,507,513,495,513
519,514,518,525,519,538
499,496,503,513,509,510
498,493,512,505,492,514
504,501,499,500,505,502
519,519,516,517,524,522
499,502,493,492,497,500
496,505,501,499,501,501
516,509,504,509,516,506
514,514,511,516,514,507
505,518,512,511,503,508
511,511,510,505,507,508
503,497,501,492,497,504
498,503,508,508,499,493
508,510,506,511,510,504
517,520,515,522,517,515
504,508,511,517,506,507
506,502,501,508,504,503
517,530,531,527,520,521
521,523,522,520,517,517
517,522,518,522,526,516
525,529,524,526,531,524
507,520,514,508,521,511
511,508,507,513,515,506
501,506,501,503,505,502
509,510,507,511,507,508
496,496,498,502,499,503
491,499,486,481,497,504
516,514,515,514,515,518
506,509,511,514,513,510
492,490,487,486,490,491
508,505,505,508,508,512
498,494,491,491,501,498
484,480,479,477,475,481
505,509,514,510,507,508
520,522,522,524,521,522
507,516,513,510,514,513
495,503,510,503,503,502
523,520,519,529,526,527
501,500,501,507,504,504
487,493,493,498,493,491
475,490,500,485,470,470
470,478,489,487,475,469
511,527,514,515,513,514
506,510,513,508,505,511
510,507,503,506,506,509
491,498,500,483,492,497
492,493,491,493,491,503
509,509,502,516,516,511
512,510,514,514,512,510
499,495,491,492,507,496
515,513,506,512,520,512
501,503,503,498,514,506
506,490,487,492,507,497
491,478,478,481,490,491
505,494,502,499,503,505
500,494,488,490,502,495
484,475,468,477,493,489
523,512,516,526,517,516
518,515,513,517,514,512
520,516,517,529,521,524
521,514,517,524,515,515
516,500,502,510,502,508
523,513,520,525,511,512
501,499,503,508,504,500
554,549,552,559,552,550
495,496,506,503,500,510
480,479,485,487,478,478
519,517,515,511,517,518
507,510,512,510,511,508
507,506,509,501,507,506
501,499,504,501,496,498
522,530,533,527,520,516
496,497,504,503,495,494
501,505,507,505,505,503
489,492,497,492,485,486
482,485,502,492,485,478
505,498,503,501,491,504
608,609,605,604,599,607
497,499,509,506,508,538
